"Name","Country","Height"
"Coomb Hill","S","640"
"Hunt Law","S","639"
"Croft Head","S","637"
"Whitehope Heights","S","637"
"Taberon Law","S","636.7"
"Coomb Dod","S","635"
"Hopetoun Craig","S","632"
"Deer Law","S","629"
"Trowgrain Middle","S","628"
"Hudderstone","S","626"
"Birks Hill","S","624"
"Conscleuch Head","S","624"
"Bell Craig","S","623"
"White Shank","S","621.6"
"Cauldcleuch Head","S","619"
"Mid Rig","S","615.8"
"Herman Law","S","614.4"
"Shielhope Head","S","613"
"Whitehope Knowe","S","613"
"Greenside Law South Top","S","611"
"White Cleuch Hill","S","611"
"Ellers Cleuch Rig","S","612"
"Greatmoor Hill","S","599"
"Wisp Hill","S","595"
"Ward Law","S","594"
"The Wiss","S","589"
"Roan Fell","S","568"
"Minch Moor","S","567"
"Pikethaw Hill","S","564"
"Turner Cleuch Law","S","551"
"Scaw'd Fell","S","549"
"Deuchar Law","S","543"
"Mountbenger Law","S","544"
"Ellson Fell","S","537"
"Arkleton Hill","S","521"
"Fanna Hill","S","514.6"
"Larriston Fells","S","512"
"Fastheugh Hill","S","501.7"
"Law Kneis","S","498.5"
"Lamington Hill","S","492"
"Cacra Hill","S","471"
"Calkin Rig","S","451"
"Hownam Law","S","449"
"Blackwood Hill","S","447"
"Goseland Hill","S","435"
"Rubers Law","S","424"
"Eildon Mid Hill","S","422"
"Cademuir Hill","S","416"
"Craig Hill","S","382.4"
"Belling Hill","S","354"
"Grange Fell","S","319.3"
"Linton Hill","S","282"
"Lamberton Hill [Ayton Hill]","S","217.1"
"Snaefell","M","621"
"North Barrule","M","565"
"Slieau Freoaghane","M","488"
"South Barrule","M","483"
"Bradda Hill","M","233"
"Mull Hill","M","169"
"Yr Eifl","W","560.7"
"Gyrn Ddu","W","522.1"
"Bwlch Mawr","W","510.3"
"Carn Fadryn","W","371"
"Mynydd Rhiw","W","304"
"Garn Boduan","W","279"
"Moel-y-gest","W","263"
"Carneddol","W","235.9"
"Holyhead Mountain","W","220"
"Mynydd Anelog","W","191.4"
"Mynydd Bodafon [Yr Arwydd]","W","177.6"
"Mynydd Enlli","W","167.9"
"Snowdon - Yr Wyddfa","W","1085"
"Crib y Ddysgl","W","1065.3"
"Carnedd Llewelyn","W","1064"
"Carnedd Dafydd","W","1044"
"Glyder Fawr","W","1000.9"
"Glyder Fach","W","994.3"
"Pen yr Ole Wen","W","978"
"Foel Grach","W","975.4"
"Yr Elen","W","962"
"Y Garn","W","947"
"Foel-fras","W","944.1"
"Garnedd Uchaf [Carnedd Gwenllian]","W","925"
"Elidir Fawr","W","924"
"Crib Goch","W","923"
"Tryfan","W","917.5"
"Y Lliwedd","W","898"
"Y Lliwedd East Top","W","893"
"Moel Siabod","W","872.2"
"Llwytmor","W","849"
"Pen yr Helgi Du","W","832.6"
"Foel-goch","W","831"
"Carnedd y Filiast","W","821"
"Lliwedd Bach","W","818"
"Mynydd Perfedd","W","813"
"Bera Bach","W","806.5"
"Y Foel Goch","W","805"
"Pen Llithrig y Wrach","W","798.6"
"Foel Meirch","W","800"
"Bera Mawr","W","793.7"
"Moel Hebog","W","783"
"Drum","W","771"
"Moelwyn Mawr","W","770"
"Gallt yr Ogof","W","763"
"Drosgl","W","756.9"
"Yr Aran","W","747.2"
"Craig Eigiau","W","735"
"Craig Cwm Silyn","W","734"
"Moel Eilio","W","726"
"Carnedd y Filiast North Top [Y Fronllwyd]","W","720"
"Llechog","W","720"
"Moelwyn Bach","W","710"
"Trum y Ddysgl","W","709"
"Garnedd-goch","W","700"
"Allt-Fawr [Allt Fawr]","W","698"
"Mynydd Mawr","W","698"
"Mynydd Drws-y-coed","W","695"
"Cnicht","W","689"
"Craigysgafn","W","689.9"
"Carnedd y Ddelw","W","686"
"Cnicht North Top","W","688"
"Creigiau Gleision","W","678"
"Moel Druman","W","676"
"Moel Cynghorion","W","674"
"Ysgafell Wen","W","672"
"Ysgafell Wen North Top","W","669"
"Moel yr Ogof","W","655"
"Mynydd Tal-y-mignedd","W","653"
"Ysgafell Wen Far North Top","W","658.9"
"Moel-yr-hydd","W","648"
"Gyrn Wigau","W","643"
"Moelwyn Mawr North Ridge Top","W","649.7"
"Moel Lefn","W","638"
"Creigiau Gleision North Top","W","631.8"
"Y Garn","W","633"
"Foel Gron","W","629"
"Pen y Castell","W","623.5"
"Craiglwyn","W","623"
"Gallt y Wenallt","W","619"
"Tal y Fan","W","610"
"Craig Fach","W","608.75"
"Mynydd Graig Goch","W","609.75"
"Moel Meirch","W","608.9"
"Foel Goch","W","604.5"
"Foel Lwyd","W","600.2"
"Moel-ddu","W","553"
"Moel y Dyniewyd","W","382.4"
"Moel y Gamelin","W","576.9"
"Cyrn-y-Brain","W","564.6"
"Moel Famau","W","554.8"
"Mwdwl-eithin","W","532"
"Moel y Gydros","W","522.3"
"Marial Gwyn [Foel Goch]","W","519.6"
"Foel Fenlli","W","510.9"
"Moel Gyw","W","467"
"Penycloddiau","W","439.5"
"Moelfre Uchaf","W","396"
"Mynydd Rhyd Ddu","W","389"
"Hope Mountain","W","330"
"Mynydd y Cwm [Coed Cwm]","W","304.8"
"Great Orme","W","207.1"
"Arenig Fawr","W","854"
"Arenig Fawr South Top","W","836"
"Moel Llechwedd","W","817"
"Y Llethr","W","756"
"Moel Llyfnant","W","751"
"Diffwys","W","750.4"
"Rhobell Fawr","W","734"
"Rhinog Fawr","W","720"
"Arenig Fawr South Ridge Top","W","712"
"Rhinog Fach","W","712"
"Arenig Fach","W","689"
"Crib-y-rhiw","W","681.2"
"Carnedd y Filiast","W","669"
"Carreg y Diocyn","W","673"
"Dduallt","W","662"
"Manod Mawr","W","661"
"Manod Mawr North Top","W","658"
"Waun Garnedd-y-Filiast","W","650.9"
"Carnedd Llechwedd-llyfn [Llechwedd-llyfn]","W","643"
"Diffwys West Top","W","643.1"
"Y Garn","W","629"
"Moel Ysgyfarnogod","W","623"
"Moel Penamnen","W","628.3"
"Gallt y Daren","W","619.4"
"Foel Boeth","W","615.4"
"Foel Penolau","W","614.4"
"Foel Goch","W","611"
"Moelfre","W","589"
"Mynydd Nodol","W","539"
"Foel Offrwm","W","405"
"Aran Fawddwy","W","905"
"Aran Benllyn","W","885"
"Erw y Ddafad-ddu","W","872"
"Pen-aran","W","840"
"Cadair Berwyn","W","832"
"Cadair Berwyn North Top","W","827"
"Moel Sych","W","826.7"
"Cadair Bronwen","W","783.4"
"Glasgwm","W","779"
"Tomle","W","740.6"
"Cadair Bronwen NE Top","W","700"
"Moel yr Ewig","W","694.7"
"Foel Wen","W","690.6"
"Foel Hafod-fynydd","W","689"
"Foel Wen South Top","W","687.9"
"Pen y Brynfforchog [Pen y Brynnfforchog]","W","684.9"
"Gwaun y Llwyni","W","685"
"Moel Poethion","W","682"
"Mynydd Tarw","W","679.4"
"Godor","W","679.2"
"Godor North Top","W","675"
"Esgeiriau Gwynion [Foel Rhudd]","W","671"
"Cyrniau Nod","W","666.2"
"Post Gwyn","W","665"
"Y Groes Fagl","W","659"
"Foel Rhudd","W","659"
"Foel Cwm-Sian Llwyd [Foel Cwm Sian Llwyd]","W","648"
"Pen y Boncyn Trefeilw","W","646"
"Bryn Gwyn","W","643"
"Gwaun Lydan","W","632"
"Moel Fferna","W","630"
"Stac Rhos","W","630"
"Foel y Geifr","W","626"
"Moel y Cerrig Duon","W","625"
"Moel yr Henfaes [Pen Bwlch Llandrillo Top]","W","621"
"Waun Camddwr","W","621.7"
"Pen yr Allt Uchaf","W","630.1"
"Rhos","W","619"
"Cefn Gwyntog","W","614"
"Llechwedd Du","W","614"
"Foel Goch","W","612.7"
"Trum y Gwragedd [Trum y Gwrgedd]","W","611.1"
"Pen y Cerrig Duon","W","611"
"Glan-hafon [Y Garn]","W","607.8"
"Foel Tyn-y-fron [Moel y Pawl] [Cefn Coch]","W","606"
"Cefn Perfedd [Pen y Lladron]","W","600.9"
"Y Gribin","W","600.5"
"Cefn Gwyntog North Top","W","600.5"
"Rhialgwm","W","540"
"Gyrn Moelfre","W","523"
"Moel y Gwelltyn","W","382"
"Allt y Main","W","356"
"Mynydd-y-briw","W","341"
"Y Golfa","W","341.4"
"Cadair Idris - Penygadair","W","892.7"
"Mynydd Moel","W","863"
"Cyfrwy","W","811"
"Craig Cwm Amarch","W","791.9"
"Mynydd Pencoed","W","766"
"Craig Lwyd","W","690"
"Gau Graig","W","683.7"
"Mynydd Gwerngraig","W","686"
"Maesglase","W","678.5"
"Maesglase (old GR) - Maen Du","W","674"
"Waun-oer","W","670"
"Tarren y Gesail","W","667"
"Craig-las [Tyrrau Mawr]","W","661"
"Cribin Fawr","W","658.8"
"Tarrenhendre","W","634"
"Craig-y-llyn","W","622"
"Craig Portas [Mynydd Dolgoed]","W","604.1"
"Ceiswyn","W","545"
"Craig Goch [Mynydd Cwmcelli]","W","468.3"
"Bryn Brith","W","382.9"
"Foel Cae'rberllan","W","380"
"Craig y Castell","W","321"
"Ffridd Cocyn","W","312.8"
"Gamallt","W","288"
"Pumlumon Fawr [Plynlimon]","W","752"
"Pen Pumlumon Arwystli","W","741"
"Pen Pumlumon Llygad-bychan [Plynlimon East Top]","W","727"
"Y Garn [Drum Peithnant]","W","684"
"Pumlumon Fach","W","664"
"Banc Llechwedd-mawr","W","560"
"Drosgol","W","550"
"Carnedd Wen","W","523"
"Disgwylfa Fawr","W","507"
"Bryn Amlwg","W","488"
"Garreg-hir","W","484.9"
"Bryn y Fan","W","482"
"Esgair Ddu","W","464"
"Stingwern Hill","W","358"
"Upper Park","W","352"
"Moel Bentyrch","W","338"
"Cefn Coch [Ffridd Esgair-yr-owen]","W","285"
"Great Rhos","W","660"
"Black Mixen","W","650"
"Great Creigiau","W","646"
"Bache Hill","W","610"
"Pegwn Mawr","W","586"
"Beacon Hill","W","547"
"Gwaunceste Hill","W","542"
"Llanfihangel Hill [Colva Hill]","W","532.2"
"Cilfaesty Hill","W","528"
"Corndon Hill","W","513.6"
"Garreg Lwyd","W","498.1"
"Gwastedyn Hill","W","477"
"Gwastedyn Hill West Top","W","476"
"Gamallt","W","474.6"
"Cefn Cenarth","W","460"
"Aberedw Hill","W","450.9"
"Aberedw Hill","W","449.4"
"Carneddau","W","445"
"Rhiw Gwraidd West Top","W","442"
"Rhiw Gwraidd","W","442"
"Gilwern Hill","W","440.6"
"The Begwns","W","415"
"Long Mountain","W","408"
"Moel y Golfa","W","403.2"
"Caeliber Isaf","W","353.5"
"Drygarn Fawr","W","645"
"Gorllwyn","W","613"
"Pen y Garn","W","611"
"Y Gamriw","W","604"
"Llan Ddu Fawr [Waun Claerddu]","W","594"
"Foel Cwmcerwyn","W","536"
"Pen y Garn-goch","W","487"
"Carn Gafallt","W","466"
"Crugiau Merched","W","462"
"Mynydd Pencarreg","W","415"
"Frenni Fawr","W","395"
"Hafod Ithel","W","361"
"Mynydd Carningli","W","346"
"Fforest","W","341.3"
"Moelfre","W","335"
"Dinas","W","331"
"Mynydd Cynros","W","329"
"Mynydd Figyn","W","328"
"Rhos Ymryson","W","327"
"Pen-crug-melyn","W","326"
"Garn Fawr","W","213"
"Brandy Hill","W","206"
"Middleton Hill","W","204.8"
"Pen y Fan","W","886"
"Corn Du","W","871.5"
"Craig Gwaun Taf [Duwynt]","W","826.4"
"Waun Fach","W","811"
"Fan Brycheiniog - Trig Point","W","801.7"
"Pen y Gadair Fawr","W","800"
"Cribyn","W","795"
"Waun Rydd","W","769.2"
"Fan Hir","W","760"
"Bwlch y Ddwyallt [Gwaun Cerrig Llwydion]","W","754"
"Bannau Sir Gaer - Picws Du","W","749.1"
"Fan Fawr","W","734"
"Fan Gyhirych","W","725"
"Pen Allt-mawr","W","719.6"
"Fan y Big","W","716.7"
"Rhos Dirion","W","713.4"
"Black Mountain","W","703.6"
"Pen Cerrig-calch","W","701"
"Twmpa","W","690"
"Chwarel y Fan","W","679"
"Waun Lefrith","W","676.1"
"Hay Bluff","W","677"
"Fan Fraith","W","668"
"Fan Nedd","W","663"
"Mynydd Llysiau","W","663"
"Pen Twyn Mawr","W","658"
"Allt Lwyd","W","653.1"
"Pen Twyn Glas","W","646"
"Black Mountain South Top","W","637.4"
"Garreg Las [Twyn-Swnd]","W","635"
"Fan Llia","W","631.9"
"Fan Frynych","W","628.3"
"Craig Cerrig-gleisiad","W","629"
"Y Gyrn","W","618.7"
"Cefn yr Ystrad","W","617.3"
"Garreg Lwyd [Moel Gornach]","W","616"
"Pen-y-Garn Fawr","W","616"
"Mynydd Troed","W","609"
"Yr Allt","W","604"
"Foel Fraith","W","602"
"Sugar Loaf","W","596"
"Tor y Foel","W","551"
"Mynydd Llangorse","W","515"
"Ysgyryd Fawr","W","486"
"Mynydd Epynt [Mynydd Eppynt]","W","475.5"
"Mynydd Bwlch-y-Groes","W","442"
"Graig Syfyrddin [Edmund's Tump]","W","423"
"Allt yr Esgair","W","392.6"
"Bryn Arw","W","385"
"Bryn Arw (old GR)","W","381"
"Myarth","W","292"
"Hirfynydd","W","481"
"Mynydd Marchywel","W","418"
"Trichrug","W","415"
"Mynydd y Betws","W","373.1"
"Mynydd Uchaf","W","357"
"Mynydd Allt-y-grug","W","338.7"
"Mynydd Sylen","W","284"
"Mynydd Drumau","W","272"
"Mynydd Llangyndeyrn","W","263"
"Rhossili Down - The Beacon","W","193"
"Kilvey Hill","W","193"
"Craig y Llyn","W","600"
"Coety Mountain [Coity Mountain] [Mynydd Coety]","W","578"
"Mynydd Carn-y-cefn","W","550"
"Mynydd Gethin","W","491"
"Mynydd Twyn-glas","W","472"
"Cefn Eglwysilan","W","382"
"Mynydd y Lan","W","381.3"
"Mynydd y Glyn","W","377"
"Foel Fynyddau","W","370"
"Mynydd Machen","W","363.2"
"Wentwood","W","309.1"
"Garth Hill","W","307"
"Craig yr Allt","W","273"
"Mynydd Dinas","W","258.1"
"The Cheviot","E","815"
"Cairn Hill","E","777"
"Dun Mor South Top","S","496.6"
"Auchope Cairn","ES","726"
"Hedgehope Hill","E","714.4"
"Comb Fell","E","652.8"
"Windy Gyle","ES","619"
"Cushat Law","E","616.2"
"Bloodybush Edge","E","609.8"
"Peel Fell","E","602.7"
"The Schil","ES","601"
"Sighty Crag","E","520"
"Shillhope Law","E","501"
"Tosson Hill","E","441"
"Long Crag","E","319"
"Ros Castle [Ros Hill]","E","315"
"Housedon Hill","E","268"
"Skiddaw","E","930.4"
"Blencathra - Hallsfell Top","E","867.8"
"Skiddaw Little Man","E","865"
"Gategill Fell Top","E","852.2"
"Atkinson Pike [Foule Crag]","E","845"
"Knowe Crags [Blease Fell]","E","804.5"
"Carl Side","E","746.8"
"Long Side","E","734"
"Lonscale Fell","E","715"
"Knott","E","710"
"Bowscale Fell","E","702"
"Ullock Pike","E","690.4"
"Great Calva","E","690"
"Bannerdale Crags","E","684.1"
"Bakestall","E","673"
"Sale How","E","666"
"Tarn Crags Top [Bowscale Fell East Top]","E","665"
"Carrock Fell","E","662.3"
"High Pike (Caldbeck)","E","658"
"Great Sca Fell","E","651"
"Little Calva","E","642.2"
"Mungrisdale Common","E","631.8"
"Hare Stones","E","627"
"Great Lingy Hill","E","616"
"Miller Moss [Little Lingy Hill]","E","610.1"
"Brae Fell","E","586"
"Lord's Seat","E","552"
"Meal Fell","E","549.4"
"Great Cockup","E","526"
"Souther Fell","E","522"
"Dodd (Skiddaw)","E","502"
"Longlands Fell","E","483"
"Binsey","E","447"
"Latrigg","E","368"
"Faulds Brow","E","344"
"St. John's Hill [Caermote Hill N Top]","E","285"
"Watch Hill [Setmurthy Common]","E","255.4"
"Clints Crags (Wainwright summit)","E","245"
"Dunmallet [Dunmallard Hill]","E","240"
"Watch Hill","E","235"
"Scafell Pike","E","978.07"
"Scafell","E","963.9"
"Symonds Knott","E","959.3"
"Ill Crag","E","930.9"
"Broad Crag","E","935.3"
"Great End","E","909.5"
"Bowfell","E","902.9"
"Blunt Top","E","901"
"Great Gable","E","899"
"Pillar","E","892.4"
"Esk Pike","E","885"
"Bowfell North Top","E","866"
"Crinkle Crags - Long Top [Second Crinkle]","E","859"
"Grasmoor","E","851.6"
"Scoat Fell","E","841"
"Crag Hill [Eel Crag]","E","839.2"
"Middle Scoat Fell","E","833"
"Crinkle Crags South Top [First Crinkle]","E","834"
"Black Crag","E","828"
"Red Pike (Wasdale)","E","826"
"Steeple","E","819"
"Shelter Crags","E","815"
"High Stile [Grey Crag - High Stile]","E","807"
"Lingmell","E","807"
"Kirk Fell","E","802"
"Green Gable","E","801"
"Haycock","E","797"
"Grisedale Pike","E","791"
"Kirk Fell East Top [Kirk Fell North Top]","E","787"
"Allen Crags","E","785"
"Glaramara","E","783"
"Pillar Rock","E","779.9"
"Shelter Crags North Top","E","775.7"
"Looking Steads (Glaramara)","E","775"
"Sail","E","773"
"Wandope","E","773.9"
"Hopegill Head","E","769.6"
"High Raise [High White Stones]","E","762"
"Slight Side","E","762"
"Sand Hill","E","756"
"Red Pike (Buttermere)","E","755.3"
"Dale Head","E","753"
"High Crag (Buttermere)","E","744.8"
"Round How","E","741"
"Little Stand","E","740"
"Hobcarton Crag [Hobcarton Head]","E","737.6"
"Robinson","E","737"
"Harrison Stickle","E","736"
"Sergeant Man","E","736"
"Combe Head","E","735.3"
"Little Gowder Crag","E","733"
"Codale Head","E","732"
"Hindscarth","E","727"
"Ullscarf","E","726"
"Thunacar Knott","E","723"
"Red Beck Top [Glaramara South Top] [Lincomb Head - Glaramara]","E","721"
"Whiteside East Top [Whiteside] [Gasgale Crags]","E","719.4"
"Brandreth","E","715"
"Pike of Stickle","E","708.4"
"Whiteside [Whiteside West Top]","E","707"
"Pike of Blisco","E","705"
"Ladyside Pike","E","703"
"Middleboot Knotts","E","703"
"Cold Pike","E","701"
"Pavey Ark","E","700"
"Grey Knotts","E","697"
"Caw Fell","E","697"
"Great Knott","E","696"
"Seatallan","E","692"
"High House Tarn Top [High House - Allen Crags]","E","684"
"Cold Pike West Top","E","683"
"Loft Crag","E","681.7"
"Combe Door Top","E","676"
"Scar Crags","E","672"
"Cold Pike Far West Top","E","670"
"Whiteless Pike","E","660"
"Low Saddle","E","656"
"High Spy","E","653.1"
"Rossett Pike","E","651"
"Fleetwith Pike","E","648.9"
"Base Brown","E","646"
"Iron Crag [Ennerdale Fell]","E","640"
"Dodd (Buttermere)","E","641.1"
"Causey Pike","E","637"
"High Spy North Top","E","634"
"Hobcarton End","E","633.6"
"Starling Dodd","E","633"
"Seathwaite Fell [Great Slack - Seathwaite Fell]","E","632"
"Dovenest Top [Dovenest Crag] [Stonethwaite Fell]","E","632"
"Seathwaite Fell South Top","E","631"
"Looking Stead (Pillar)","E","627.7"
"Yewbarrow","E","627"
"Great Borne","E","616"
"Yewbarrow North Top [Stirrup Crag]","E","616.4"
"Rosthwaite Fell [Rosthwaite Cam]","E","612"
"Illgill Head","E","608.8"
"High Seat","E","608"
"Seathwaite Fell (Wainwright summit)","E","601"
"Haystacks (Buttermere)","E","597"
"Bleaberry Fell","E","590"
"Middle Fell","E","582"
"Ard Crags","E","581"
"Maiden Moor","E","575"
"Blake Fell","E","573"
"Sergeant's Crag","E","571"
"Outerside","E","568"
"Knott Rigg","E","556"
"Steel Fell [Dead Pike - Steel Fell]","E","553"
"Rosthwaite Fell - Bessyboot","E","551"
"Tarn Crag (Easedale)","E","549"
"Hard Knott","E","549"
"Blea Rigg","E","541"
"Lank Rigg","E","541"
"Calf Crag","E","537"
"Whin Rigg (Wasdale)","E","537"
"Gavel Fell","E","524.3"
"Eagle Crag","E","525"
"Crag Fell","E","523"
"Whinlatter [Brown How - Whinlatter]","E","517"
"High Tove","E","515"
"Mellbreak [Mellbreak South Top]","E","512"
"Broom Fell","E","510.2"
"Hen Comb","E","506.2"
"Grike","E","488"
"Armboth Fell","E","475"
"Burnbank Fell","E","475"
"Lingmoor Fell [Lingmoor Fell - Brown How]","E","470"
"Barf","E","469"
"Raven Crag","E","461"
"Barrow","E","455"
"Graystones","E","450.4"
"Catbells","E","451"
"Great Crag (Stonethwaite)","E","449"
"Murton Fell [Knock Murton]","E","446.4"
"Low Fell","E","423"
"Gibson Knott","E","420.1"
"Fellbarrow - Mosser Fell","E","416"
"Grange Fell [Brund Fell]","E","417.2"
"Buckbarrow","E","423"
"Helm Crag","E","405"
"Silver How","E","395"
"Walla Crag","E","379"
"Ling Fell","E","374"
"Rannerdale Knotts","E","355"
"Sale Fell","E","359"
"Dent [Long Barrow]","E","352"
"Dent","E","346"
"Boat How","E","337"
"Loughrigg Fell","E","335"
"Black Fell","E","323"
"Ponsonby Fell","E","315"
"Castle Crag","E","290"
"Cold Fell","E","293"
"Flat Fell","E","272"
"Swinside","E","244"
"Irton Pike","E","229"
"Helvellyn","E","949.8"
"Helvellyn Lower Man","E","924.5"
"Nethermost Pike","E","891.3"
"Catstye Cam","E","889.6"
"High Crag (Grisedale)","E","883.5"
"Raise","E","882.7"
"Fairfield","E","873.3"
"Striding Edge [High Spying How]","E","862.9"
"White Side","E","863.2"
"Dollywaggon Pike","E","858.5"
"Great Dodd","E","857"
"Stybarrow Dodd","E","843.7"
"St Sunday Crag","E","841.2"
"High Street","E","828"
"Hart Crag","E","823.1"
"High Raise (High Street)","E","802"
"Green Side [White Stones - Green Side]","E","794.1"
"Rampsgill Head","E","792"
"Dove Crag","E","792"
"Watson's Dodd","E","789"
"Thornthwaite Crag","E","784"
"Kidsty Pike","E","780"
"Harter Fell (Mardale)","E","779"
"Red Screes","E","776"
"Great Rigg","E","766.4"
"Stony Cove Pike [Caudale Moor]","E","763"
"Mardale Ill Bell","E","760"
"Ill Bell","E","757"
"Hart Side","E","756"
"The Knott (High Street)","E","739"
"Seat Sandal","E","736.8"
"Kentmere Pike","E","730.5"
"Clough Head","E","726"
"Froswick","E","720"
"Birkhouse Moor","E","717.6"
"Branstree","E","711.5"
"Yoke","E","707"
"Gray Crag","E","699"
"Rest Dodd","E","696"
"Sheffield Pike","E","676.1"
"Branstree NE Top [Branstree East Top] [High Howes (Mardale)]","E","673"
"Loadpot Hill","E","672"
"Wether Hill","E","671"
"Adam Seat","E","666"
"Tarn Crag (Sleddale)","E","664"
"Calfhow Pike","E","660"
"Place Fell","E","657"
"High Pike (Scandale)","E","656"
"Selside Pike","E","655"
"Middle Dodd","E","654"
"Grey Crag [Sleddale Fell]","E","638"
"Little Hart Crag [Little Hart Crag - West Top]","E","637"
"Harrop Pike","E","637"
"Rough Crag (Riggindale)","E","628"
"Goat Scar","E","626"
"Birks","E","624"
"Heron Pike North Top [Rydal Fell]","E","621.3"
"Hartsop Dodd","E","619"
"Heron Pike (Rydal)","E","612"
"Shipman Knotts","E","587"
"Great Yarlside","E","591"
"Howes","E","583"
"The Nab","E","576"
"Hartsop Above How [Gill Crag - Hartsop Above How]","E","584"
"Angletarn Pikes [Angletarn Pikes North Top]","E","567"
"Great Saddle Crag","E","560"
"Wasdale Pike","E","565"
"Brock Crags (Wainwright)","E","561.2"
"Great Mell Fell","E","537"
"Arthur's Pike","E","533"
"High Wether Howe","E","531"
"White Howe (Bannisdale)","E","530"
"Lord's Seat (Crookdale) [Lord's Seat - High House Fell]","E","524"
"Bonscale Pike","E","524"
"High Hartsop Dodd","E","519"
"Sallows","E","516"
"Little Yarlside","E","518"
"Seat Robert","E","515"
"Capplebarrow","E","513"
"Fewling Stones","E","509"
"Beda Fell [Beda Head]","E","509"
"Low Pike","E","508"
"Sleddale Pike","E","506"
"Little Mell Fell","E","505"
"Hare Shaw","E","503"
"Ulthwaite Rigg","E","502"
"Stone Arthur","E","504"
"High House Bank","E","495"
"Grayrigg Forest","E","494"
"Robin Hood","E","492"
"Bannisdale Fell - Long Crag","E","493"
"Nabs Moor","E","493"
"Baystones [Wansfell]","E","486.9"
"Whatshaw Common","E","490"
"Sour Howes","E","483"
"Gowbarrow Fell (Wainwright summit)","E","481.2"
"Nab Scar","E","450"
"Glenridding Dodd","E","442"
"Great Ladstones","E","440"
"Arnison Crag","E","433"
"Steel Knotts [Pikeawassa - Steel Knotts]","E","432"
"Brunt Knott","E","427"
"Hollow Moor [Green Quarter Fell]","E","426"
"Harper Hills","E","414"
"Hugh's Laithes Pike","E","419"
"Todd Fell","E","401"
"Langhowe Pike","E","401"
"Whiteside Pike","E","397"
"Hallin Fell","E","388"
"Heughscar Hill","E","375"
"Lamb Pasture","E","367"
"Troutbeck Tongue","E","364"
"High Rigg [Naddle Fell]","E","355"
"Knipescar Common [Knipe Scar]","E","341"
"Scalebarrow Knott","E","338"
"High Knott","E","275"
"Hugill Fell (Wainwright summit)","E","265"
"Reston Scar","E","255"
"Grandsire","E","251"
"The Old Man of Coniston [Coniston Old Man]","E","802.4"
"Swirl How","E","802.4"
"Brim Fell","E","795.9"
"Great Carrs","E","785"
"Dow Crag","E","778"
"Grey Friar","E","773"
"Wetherlam","E","763"
"Black Sails","E","745"
"Brown Pike","E","682"
"Harter Fell (Eskdale)","E","653.2"
"Walna Scar","E","621"
"White Maiden","E","610"
"Black Combe","E","600"
"Whitfell","E","573"
"Buck Barrow","E","549"
"Burn Moor","E","543"
"Kinmont Buck Barrow","E","535"
"Caw","E","529"
"Stainton Pike","E","498"
"Yoadcastle","E","494"
"Woodend Height","E","489"
"Green Crag","E","488.7"
"Hesk Fell","E","478.1"
"Stoupdale Head","E","472"
"Pikes","E","469"
"White Pike (Birkby Fell)","E","442"
"Great Worm Crag","E","427"
"Green Pikes","E","420"
"White Combe","E","417"
"Stickle Pike","E","375"
"The Pike","E","370"
"Lambrigg Fell","E","339.6"
"Lambrigg Fell (old GR)","E","338"
"Top o' Selside","E","335"
"Kirkby Moor [Lowick High Common]","E","334"
"Ulgraves","E","333"
"The Knott (Stainton Fell)","E","331"
"Gummer's How","E","321"
"Rough Crag (Birker Moor)","E","319"
"Holme Fell","E","316"
"Carron Crag","E","314"
"Tarn Hill","E","313"
"Seat How (Birker Moor)","E","311"
"Water Crag","E","305"
"Great Stickle","E","305"
"Burney","E","298"
"The Knott","E","284"
"Dunnerdale Fells","E","280"
"Hutton Roof Crags","E","275"
"Claife Heights","E","270"
"Staveley Fell","E","265"
"High Light Haw","E","263"
"Beacon Fell","E","255"
"Blawith Knott","E","248"
"Low Light Haw","E","250"
"Latterbarrow","E","244"
"Orrest Head","E","238"
"Newton Fell North","E","237"
"Scout Scar (Wainwright summit)","E","233"
"School Knott","E","231.7"
"Muncaster Fell - Hooker Crag","E","231.4"
"Tottlebank Height","E","236"
"Hampsfell (Wainwright summit)","E","220"
"Whitbarrow - Lord's Seat","E","215"
"Wool Knott","E","223"
"Cunswick Scar","E","207"
"Yew Bank","E","207"
"Brant Fell","E","191"
"Lowscales Hill","E","190.6"
"Bigland Barrow","E","193"
"Finsthwaite Heights","E","180"
"Raven's Barrow [Cartmel Fell]","E","152"
"Humphrey Head","E","53"
"Cross Fell","E","893"
"Great Dun Fell","E","847.5"
"Little Dun Fell","E","842"
"Knock Fell","E","794"
"Mickle Fell","E","790"
"Meldon Hill","E","767"
"Little Fell","E","748"
"Burnhope Seat","E","747.8"
"Harwood Common","E","715.2"
"Great Shunner Fell","E","716"
"Dead Stones","E","710"
"Melmerby Fell","E","709"
"High Seat","E","709"
"Wild Boar Fell","E","708"
"Great Stony Hill","E","708"
"Chapelfell Top","E","700.3"
"Backstone Edge","E","699"
"Fendrith Hill","E","697"
"Archy Styrigg [Gregory Chapel]","E","695"
"Hugh Seat","E","689"
"Long Crag","E","686"
"Round Hill","E","686"
"Swarth Fell","E","681"
"Baugh Fell - Tarn Rigg Hill","E","678"
"Nags Head","E","678"
"The Calf","E","676"
"Knoutberry Haw","E","676"
"Lovely Seat","E","674.8"
"Murton Fell","E","675"
"Westernhope Moor [James's Hill]","E","675"
"Calders","E","675.4"
"Killhope Law","E","673"
